Name,SteamId,CsmId
'Blueberries' Buckshot | NSWC SEAL,176209284,1083601
'Medium Rare' Crasswater | Guerrilla Warfare,176262691,1086985
'The Doctor' Romanov | Sabre,176096416,1073944
'Two Times' McCoy | TACP Cavalry,176209278,1083492
'Two Times' McCoy | USAF TACP,176096507,1073912
★ Bayonet | Autotronic (Battle-Scarred),156462603,13523
★ Bayonet | Autotronic (Factory New),157588804,4850
★ Bayonet | Autotronic (Field-Tested),156151891,5689
★ Bayonet | Autotronic (Minimal Wear),157138165,359
★ Bayonet | Autotronic (Well-Worn),156571019,19145
★ Bayonet | Black Laminate (Battle-Scarred),156448602,2443
★ Bayonet | Black Laminate (Factory New),156955234,20132
★ Bayonet | Black Laminate (Field-Tested),156403790,3431
★ Bayonet | Black Laminate (Minimal Wear),156448594,1915
★ Bayonet | Black Laminate (Well-Worn),156571016,7097
★ Bayonet | Blue Steel (Battle-Scarred),1322728,7185
★ Bayonet | Blue Steel (Factory New),1358684,1775
★ Bayonet | Blue Steel (Field-Tested),1340303,1854
★ Bayonet | Blue Steel (Minimal Wear),1338889,14381
★ Bayonet | Blue Steel (Well-Worn),1328459,18366
★ Bayonet | Boreal Forest (Battle-Scarred),1341846,4051
★ Bayonet | Boreal Forest (Factory New),5659623,21551
★ Bayonet | Boreal Forest (Field-Tested),1322376,12747
★ Bayonet | Boreal Forest (Minimal Wear),1340529,1540
★ Bayonet | Boreal Forest (Well-Worn),1322172,3625
★ Bayonet | Bright Water (Battle-Scarred),157043041,4146
★ Bayonet | Bright Water (Factory New),156209799,3666
★ Bayonet | Bright Water (Field-Tested),156239407,9827
★ Bayonet | Bright Water (Minimal Wear),156300552,3875
★ Bayonet | Bright Water (Well-Worn),156828351,5458
★ Bayonet | Case Hardened (Battle-Scarred),1322356,18297
★ Bayonet | Case Hardened (Factory New),1512969,21373
★ Bayonet | Case Hardened (Field-Tested),1322024,7629
★ Bayonet | Case Hardened (Minimal Wear),1338724,696
★ Bayonet | Case Hardened (Well-Worn),1322210,1884
★ Bayonet | Crimson Web (Battle-Scarred),1356777,18959
★ Bayonet | Crimson Web (Factory New),1338767,20581
★ Bayonet | Crimson Web (Field-Tested),1321900,1988
★ Bayonet | Crimson Web (Minimal Wear),1336838,15704
★ Bayonet | Crimson Web (Well-Worn),1322266,1878
★ Bayonet | Damascus Steel (Battle-Scarred),30041143,1833
★ Bayonet | Damascus Steel (Factory New),29455397,2999
★ Bayonet | Damascus Steel (Field-Tested),29240572,1095
★ Bayonet | Damascus Steel (Minimal Wear),29637213,8359
★ Bayonet | Damascus Steel (Well-Worn),29727303,7166
★ Bayonet | Doppler (Factory New),29222874,1078253
★ Bayonet | Doppler (Minimal Wear),29707898,1078386
★ Bayonet | Doppler Black Pearl (Factory New),29222874,15734
★ Bayonet | Doppler Black Pearl (Minimal Wear),29707898,36840
★ Bayonet | Doppler Phase 1 (Factory New),29222874,684
★ Bayonet | Doppler Phase 1 (Minimal Wear),29707898,21306
★ Bayonet | Doppler Phase 2 (Factory New),29222874,9556
★ Bayonet | Doppler Phase 2 (Minimal Wear),29707898,19186
★ Bayonet | Doppler Phase 3 (Factory New),29222874,2818
★ Bayonet | Doppler Phase 3 (Minimal Wear),29707898,21214
★ Bayonet | Doppler Phase 4 (Factory New),29222874,3446
★ Bayonet | Doppler Phase 4 (Minimal Wear),29707898,18787
★ Bayonet | Doppler Ruby (Factory New),29222874,843
★ Bayonet | Doppler Ruby (Minimal Wear),29707898,20781
★ Bayonet | Doppler Sapphire (Factory New),29222874,13269
★ Bayonet | Doppler Sapphire (Minimal Wear),29707898,19844
★ Bayonet | Fade (Factory New),1336989,7742
★ Bayonet | Fade (Minimal Wear),1375375,18963
★ Bayonet | Forest DDPAT (Battle-Scarred),1322000,7275
★ Bayonet | Forest DDPAT (Factory New),4638979,25181
★ Bayonet | Forest DDPAT (Field-Tested),1321989,8389
★ Bayonet | Forest DDPAT (Minimal Wear),1358473,18072
★ Bayonet | Forest DDPAT (Well-Worn),1400120,3961
★ Bayonet | Freehand (Battle-Scarred),157997009,3995
★ Bayonet | Freehand (Factory New),156162323,7055
★ Bayonet | Freehand (Field-Tested),156162313,7251
★ Bayonet | Freehand (Minimal Wear),156455978,416
★ Bayonet | Freehand (Well-Worn),156113459,499
★ Bayonet | Gamma Doppler (Factory New),156612099,1078351
★ Bayonet | Gamma Doppler (Minimal Wear),156793125,1078406
★ Bayonet | Gamma Doppler Emerald (Factory New),156612099,8745
★ Bayonet | Gamma Doppler Emerald (Minimal Wear),156793125,19898
★ Bayonet | Gamma Doppler Phase 1 (Factory New),156612099,8744
★ Bayonet | Gamma Doppler Phase 1 (Minimal Wear),156793125,11113
★ Bayonet | Gamma Doppler Phase 2 (Factory New),156612099,11180
★ Bayonet | Gamma Doppler Phase 2 (Minimal Wear),156793125,20397
★ Bayonet | Gamma Doppler Phase 3 (Factory New),156612099,9681
★ Bayonet | Gamma Doppler Phase 3 (Minimal Wear),156793125,11114
★ Bayonet | Gamma Doppler Phase 4 (Factory New),156612099,14016
★ Bayonet | Gamma Doppler Phase 4 (Minimal Wear),156793125,18258
★ Bayonet | Lore (Battle-Scarred),157211771,8388
★ Bayonet | Lore (Factory New),158080469,7361
★ Bayonet | Lore (Field-Tested),156181143,3977
★ Bayonet | Lore (Minimal Wear),157100581,14680
